Europeana Referenced Properties
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0017.html",Q17275728
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0019.html",Q17275729
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0020.html",Q17275730
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0021.html",Q17275732
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0025.html",Q17275734
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0026.html",Q17275735
"http://europeana.eu/portal/record//90402/SK_C_1350.html",Q17275735
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0028.html",Q17275736
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0029.html",Q17275737
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0030.html",Q17275738
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0031.html",Q17275740
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0033.html",Q17275742
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0036.html",Q17275744
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0039.html",Q17275746
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0040.html",Q17275748
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0045.html",Q17275749
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0046.html",Q17275751
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0047.html",Q17275752
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0048.html",Q17275753
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0049.html",Q17275754
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0053.html",Q17275755
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0054.html",Q17275756
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0055.html",Q17275758
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0056.html",Q17275759
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0057.html",Q17275760
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0058.html",Q17275761
"http://europeana.eu/portal/record//92034/GVNRC_MAU01_0061.html",Q17275762
