Wikidata entity,EuropeanaID,HTTP status code
Q1890043,2020718/DR_17132,404
Q1842390,2020718/DR_18802,404
Q1899975,2020718/DR_19831,404
Q1865654,2020718/DR_21479,404
Q1887693,2020718/DR_24505,404
Q1856364,2020718/DR_28571,404
Q1865686,2020718/DR_29943,404
Q1846421,2020718/DR_30162,404
Q1896590,2020718/DR_31337,404
Q1883455,2020718/DR_31586,404
Q1851741,2020718/DR_33103,404
Q1903141,2020718/DR_34982,404
Q1843473,2020718/DR_37639,404
Q1882621,2020718/DR_38124,404
Q1854302,2020718/DR_39327,404
Q1848078,2020718/DR_40092,404
Q1908281,2020718/DR_46929,404
Q1870587,2020718/DR_483412,404
Q1847968,2020718/DR_507076,404
Q1843524,2020718/DR_507199,404
Q1861753,2020718/DR_507442,404
Q1882477,2020718/DR_509417,404
Q1867126,2020718/DR_510943,404
Q1875273,2020718/DR_526675,404
Q1882280,2020718/DR_7089,404
Q1867927,2020718/DR_7449,404
Q1855050,2020718/DR_7898,404
Q1886200,2020718/DR_8406,404
Q1869717,2020718/DR_8411,404
Q1907180,2020718/DR_9860,404
Q1918354,2020718/DR_10235,404
Q1911239,2020718/DR_11155,404
Q1976814,2020718/DR_12326,404
Q1931931,2020718/DR_12414,404
Q1951493,2020718/DR_14548,404
Q1948561,2020718/DR_14635,404
Q1923519,2020718/DR_21542,404
Q1973739,2020718/DR_25467,404
Q1919911,2020718/DR_26609,404
Q1955870,2020718/DR_31038,404
Q1976714,2020718/DR_32450,404
Q1923798,2020718/DR_333537,404
Q1958516,2020718/DR_33995,404
Q1950345,2020718/DR_39286,404
Q1950747,2020718/DR_459569,404
Q1948006,2020718/DR_46518,404
Q2130550,2020718/DR_527688,404
Q2133295,2020718/DR_7061,404
Q2150641,2020718/DR_7685,404
Q2178022,2020718/DR_9978,404
Q2235973,2020718/DR_11679,404
Q2278631,2020718/DR_18271,404
Q2215259,2020718/DR_19917,404
Q2215732,2020718/DR_21422,404
Q2272526,2020718/DR_22695,404
Q2265127,2020718/DR_23469,404
Q2259688,2020718/DR_23540,404
Q2243348,2020718/DR_23833,404
Q2225213,2020718/DR_29263,404
Q2205374,2020718/DR_30638,404
Q2236671,2020718/DR_31395,404
Q2246705,2020718/DR_31571,404
Q2268131,2020718/DR_32709,404
Q2268131,2020718/DR_32710,404
Q2225856,2020718/DR_331,404
Q2231515,2020718/DR_33254,404
Q2239545,2020718/DR_34008,404
Q2249745,2020718/DR_36589,404
Q2234983,2020718/DR_38211,404
Q2276421,2020718/DR_38465,404
Q2267211,2020718/DR_38858,404
Q2259585,2020718/DR_38868,404
Q2239177,2020718/DR_39032,404
Q2221389,2020718/DR_508610,404
Q2249790,2020718/DR_512776,404
Q2215915,2020718/DR_514895,404
Q2247495,2020718/DR_515486,404
Q2243753,2020718/DR_517575,404
Q2250172,2020718/DR_518004,404
Q2266932,2020718/DR_521293,404
Q2243271,2020718/DR_524868,404
Q2236215,2020718/DR_525653,404
Q2263929,2020718/DR_6190,404
Q2256148,2020718/DR_8268,404
Q2211121,2020718/DR_9428,404
Q2349735,2020718/DR_14184,404
Q2352693,2020718/DR_14251,404
Q2303187,2020718/DR_18201,404
Q2343533,2020718/DR_18569,404
Q2337844,2020718/DR_21027,404
Q2330207,2020718/DR_22144,404
Q2351921,2020718/DR_22265,404
Q2303747,2020718/DR_22452,404
Q2327269,2020718/DR_24411,404
Q2333545,2020718/DR_24463,404
Q2326072,2020718/DR_25667,404
Q2295187,2020718/DR_25759,404
Q2314480,2020718/DR_25826,404
Q2351867,2020718/DR_28289,404
Q2314368,2020718/DR_31611,404
Q2339092,2020718/DR_32337,404
Q2311477,2020718/DR_33105,404
Q2325673,2020718/DR_36068,404
Q2324096,2020718/DR_37498,404
Q2323095,2020718/DR_37641,404
Q2320896,2020718/DR_38550,404
Q2345404,2020718/DR_41547,404
Q2306527,2020718/DR_46955,404
Q2287215,2020718/DR_506119,404
Q2297588,2020718/DR_507247,404
Q2330441,2020718/DR_511249,404
Q2301463,2020718/DR_512006,404
Q2345774,2020718/DR_516363,404
Q2327471,2020718/DR_518058,404
Q2316102,2020718/DR_7177,404
Q2311454,2020718/DR_9181,404
Q2286015,2020718/DR_9226,404
Q2292819,2020718/DR_9920,404
Q2369084,2020718/DR_10040,404
Q2373317,2020718/DR_10614,404
Q2372597,2020718/DR_15387,404
Q2377535,2020718/DR_15492,404
Q2365108,2020718/DR_17196,404
Q2392619,2020718/DR_18452,404
Q2425178,2020718/DR_18788,404
Q2386660,2020718/DR_21308,404
Q2386608,2020718/DR_22487,404
Q2391765,2020718/DR_23637,404
Q2393805,2020718/DR_24607,404
Q2432654,2020718/DR_25419,404
Q2388678,2020718/DR_25824,404
Q2427585,2020718/DR_26169,404
Q2430158,2020718/DR_268,404
Q2426916,2020718/DR_30107,404
Q2410823,2020718/DR_31985,404
Q2399070,2020718/DR_32912,404
Q2393143,2020718/DR_33626,404
Q2390333,2020718/DR_34149,404
Q2359244,2020718/DR_35375,404
Q2373386,2020718/DR_35675,404
Q2368649,2020718/DR_37893,404
Q2410007,2020718/DR_45429,404
Q2417626,2020718/DR_484346,404
Q2412257,2020718/DR_486272,404
Q2372204,2020718/DR_507230,404
Q2368772,2020718/DR_507695,404
Q2378029,2020718/DR_516111,404
Q2400016,2020718/DR_517630,404
Q2371250,2020718/DR_519729,404
Q2383458,2020718/DR_520165,404
Q2373030,2020718/DR_522938,404
Q2433228,2020718/DR_523289,404
Q2369694,2020718/DR_527232,404
Q2375899,2020718/DR_6860,404
