Wikidata property ID,EDM property
http://www.wikidata.org/prop/P1600,
http://www.wikidata.org/prop/P3067,
http://www.wikidata.org/prop/P3348,
http://www.wikidata.org/prop/P170,
http://www.wikidata.org/prop/P466,
http://www.wikidata.org/prop/P1001,
http://www.wikidata.org/prop/P1030,
http://www.wikidata.org/prop/P3509,
http://www.wikidata.org/prop/P1014,
http://www.wikidata.org/prop/P2003,
http://www.wikidata.org/prop/P2783,
http://www.wikidata.org/prop/P3569,
http://www.wikidata.org/prop/P4098,
http://www.wikidata.org/prop/P245,
http://www.wikidata.org/prop/P3762,
http://www.wikidata.org/prop/P611,
http://www.wikidata.org/prop/P1438,
http://www.wikidata.org/prop/P2186,
http://www.wikidata.org/prop/P2980,
http://www.wikidata.org/prop/P3270,
http://www.wikidata.org/prop/P3271,
http://www.wikidata.org/prop/P1207,
http://www.wikidata.org/prop/P2048,
http://www.wikidata.org/prop/P2488,
http://www.wikidata.org/prop/P3964,
http://www.wikidata.org/prop/P455,
http://www.wikidata.org/prop/P886,
http://www.wikidata.org/prop/P1273,
http://www.wikidata.org/prop/P1344,
http://www.wikidata.org/prop/P1397,
http://www.wikidata.org/prop/P1670,
http://www.wikidata.org/prop/P1944,
http://www.wikidata.org/prop/P2660,
http://www.wikidata.org/prop/P2927,
http://www.wikidata.org/prop/P3134,
http://www.wikidata.org/prop/P3562,
http://www.wikidata.org/prop/P3563,
http://www.wikidata.org/prop/P92,
http://www.wikidata.org/prop/P1299,
http://www.wikidata.org/prop/P1449,
http://www.wikidata.org/prop/P1732,
http://www.wikidata.org/prop/P1799,
http://www.wikidata.org/prop/P3827,
http://www.wikidata.org/prop/P1083,
http://www.wikidata.org/prop/P1546,
http://www.wikidata.org/prop/P1794,
http://www.wikidata.org/prop/P2716,
http://www.wikidata.org/prop/P2936,
http://www.wikidata.org/prop/P296,
http://www.wikidata.org/prop/P3479,
http://www.wikidata.org/prop/P809,
http://www.wikidata.org/prop/P937,
http://www.wikidata.org/prop/P10,
http://www.wikidata.org/prop/P1174,
http://www.wikidata.org/prop/P1411,
http://www.wikidata.org/prop/P1430,
http://www.wikidata.org/prop/P1838,
http://www.wikidata.org/prop/P2596,
http://www.wikidata.org/prop/P381,
http://www.wikidata.org/prop/P762,
http://www.wikidata.org/prop/P1005,
http://www.wikidata.org/prop/P1375,
http://www.wikidata.org/prop/P15,
http://www.wikidata.org/prop/P1814,
http://www.wikidata.org/prop/P3198,
http://www.wikidata.org/prop/P356,
http://www.wikidata.org/prop/P3761,
http://www.wikidata.org/prop/P528,
http://www.wikidata.org/prop/P607,
http://www.wikidata.org/prop/P709,
http://www.wikidata.org/prop/P1101,
http://www.wikidata.org/prop/P1125,
http://www.wikidata.org/prop/P1949,
http://www.wikidata.org/prop/P2746,
http://www.wikidata.org/prop/P279,
http://www.wikidata.org/prop/P2923,
http://www.wikidata.org/prop/P3007,
http://www.wikidata.org/prop/P3177,
http://www.wikidata.org/prop/P3318,
http://www.wikidata.org/prop/P355,
http://www.wikidata.org/prop/P3642,
http://www.wikidata.org/prop/P4009,
http://www.wikidata.org/prop/P968,
http://www.wikidata.org/prop/P1481,
http://www.wikidata.org/prop/P2561,
http://www.wikidata.org/prop/P2657,
http://www.wikidata.org/prop/P2847,
http://www.wikidata.org/prop/P3185,
http://www.wikidata.org/prop/P3218,
http://www.wikidata.org/prop/P3403,
http://www.wikidata.org/prop/P3630,
http://www.wikidata.org/prop/P403,
http://www.wikidata.org/prop/P457,
http://www.wikidata.org/prop/P641,
http://www.wikidata.org/prop/P758,
http://www.wikidata.org/prop/P954,
http://www.wikidata.org/prop/P1103,
http://www.wikidata.org/prop/P1329,
http://www.wikidata.org/prop/P180,
http://www.wikidata.org/prop/P2082,
http://www.wikidata.org/prop/P2348,
http://www.wikidata.org/prop/P248,
http://www.wikidata.org/prop/P2855,
http://www.wikidata.org/prop/P2917,
