Collection ID,# records,Collection name
http://www.wikidata.org/entity/Q1573755,1,M HKA
http://www.wikidata.org/entity/Q1955758,1,Grand Duke Jean Museum of Modern Art
http://www.wikidata.org/entity/Q623662,1,Romanian Peasant Museum
http://www.wikidata.org/entity/Q23890843,1,Biblioteca Municipal Braamcamp Freire
http://www.wikidata.org/entity/Q80784,1,Musée des beaux-arts de Liège
http://www.wikidata.org/entity/Q16517556,1,Central Slovakian Gallery
http://www.wikidata.org/entity/Q23308,1,British Library
http://www.wikidata.org/entity/Q11694649,1,Medical Society House
http://www.wikidata.org/entity/Q188112,1,National Museum (Prague)
http://www.wikidata.org/entity/Q16944850,1,Sint-Agathaklooster
http://www.wikidata.org/entity/Q648166,1,National Museum of Denmark
http://www.wikidata.org/entity/Q2805178,1,Gallery Prince Willem V
http://www.wikidata.org/entity/Q176251,1,Thyssen-Bornemisza Museum
http://www.wikidata.org/entity/Q510144,1,Sprengel Museum
http://www.wikidata.org/entity/Q6974201,1,National Literature Centre
http://www.wikidata.org/entity/Q131454,1,Library of Congress
http://www.wikidata.org/entity/Q2893370,1,Beaux-Arts Mons
http://www.wikidata.org/entity/Q195311,1,National Museum Kraków
http://www.wikidata.org/entity/Q938154,1,Saint Bavo Cathedral
http://www.wikidata.org/entity/Q4121091,1,Vejle Museum of Art
http://www.wikidata.org/entity/Q7587830,1,St. Elisabeth Gasthuis
http://www.wikidata.org/entity/Q17319132,1,Pan Poeticon Batavum
http://www.wikidata.org/entity/Q3521692,1,The Lowry
http://www.wikidata.org/entity/Q1078864,1,Igreja de São Roque
http://www.wikidata.org/entity/Q692381,1,Het Loo Palace
http://www.wikidata.org/entity/Q89959,1,French Community of Belgium
http://www.wikidata.org/entity/Q1334270,1,Norwegian Maritime Museum
http://www.wikidata.org/entity/Q19697920,1,musée provincial Félicien Rops
http://www.wikidata.org/entity/Q2112422,1,Museum voor Religieuze Kunst
http://www.wikidata.org/entity/Q1770313,1,Art Museums of Bergen
http://www.wikidata.org/entity/Q1800739,1,Laing Art Gallery
http://www.wikidata.org/entity/Q759169,1,Museum Boerhaave
http://www.wikidata.org/entity/Q12009431,1,Vest-Agder-museet IKS
http://www.wikidata.org/entity/Q383931,1,Royal Library of Belgium
http://www.wikidata.org/entity/Q10516324,1,Hallands art museum
http://www.wikidata.org/entity/Q23949493,1,Biblioteca de Santa Cruz
http://www.wikidata.org/entity/Q3402621,1,Penrhyn Castle
http://www.wikidata.org/entity/Q3555520,1,Skagens Museum
http://www.wikidata.org/entity/Q10601378,1,Nivaagaard Museum
http://www.wikidata.org/entity/Q245966,1,National Library of Portugal
http://www.wikidata.org/entity/Q3719374,1,Houghton Library
http://www.wikidata.org/entity/Q1574347,1,Jewish Historical Institute
http://www.wikidata.org/entity/Q12310929,1,Faaborg Museum
http://www.wikidata.org/entity/Q1500750,1,Täby Church
http://www.wikidata.org/entity/Q1421440,1,Fitzwilliam Museum
http://www.wikidata.org/entity/Q856651,1,National Library of Luxembourg
http://www.wikidata.org/entity/Q22671042,1,Hussite Museum in Tabor
http://www.wikidata.org/entity/Q4360916,1,Museum Gouda
http://www.wikidata.org/entity/Q18539254,1,Art museum of Constanta
http://www.wikidata.org/entity/Q11787197,1,Roskilde Museum
http://www.wikidata.org/entity/Q18702986,1,National Museum Library
http://www.wikidata.org/entity/Q631844,1,Swedish National Heritage Board
http://www.wikidata.org/entity/Q2163496,1,Museum of Fine Arts of Seville
http://www.wikidata.org/entity/Q74149551,1,Cook collection
http://www.wikidata.org/entity/Q2365880,1,"Museum of Fine Arts, Ghent"
http://www.wikidata.org/entity/Q812285,1,Bavarian State Painting Collections
http://www.wikidata.org/entity/Q1592523,1,Sorolla Museum
http://www.wikidata.org/entity/Q3785211,1,Heritage Malta
http://www.wikidata.org/entity/Q4381425,1,M. K. Čiurlionis National Art Museum
http://www.wikidata.org/entity/Q511,1,Museum of Fine Arts of Lyon
http://www.wikidata.org/entity/Q12376420,1,Tartu Art Museum
http://www.wikidata.org/entity/Q14917275,1,Staatsgalerie Stuttgart
http://www.wikidata.org/entity/Q56054714,1,Galeria dos Padres Oratorianos
http://www.wikidata.org/entity/Q46815,1,Israel Museum
http://www.wikidata.org/entity/Q829296,1,Saarland Museum
http://www.wikidata.org/entity/Q700222,1,Berlinische Galerie
http://www.wikidata.org/entity/Q2745620,1,Chiado Museum
http://www.wikidata.org/entity/Q10602801,1,Norrköping art museum
http://www.wikidata.org/entity/Q1816263,1,Trapholt
http://www.wikidata.org/entity/Q1540707,1,Stedelijk Museum voor Actuele Kunst
http://www.wikidata.org/entity/Q1334582,1,University of Liège
http://www.wikidata.org/entity/Q548427,1,Kunstsammlung Nordrhein-Westfalen
http://www.wikidata.org/entity/Q1895953,1,Musée national d'art moderne
http://www.wikidata.org/entity/Q754507,1,Ateneum
http://www.wikidata.org/entity/Q16981573,1,Gainsborough's House
http://www.wikidata.org/entity/Q5187140,1,Croatian Museum of Naïve Art
http://www.wikidata.org/entity/Q1471477,1,Royal Museum of Fine Arts Antwerp
http://www.wikidata.org/entity/Q28058453,1,Museum IJsselstein
http://www.wikidata.org/entity/Q3614063,1,Bornholm Art Museum
http://www.wikidata.org/entity/Q22233101,1,Biblioteca da Ajuda
http://www.wikidata.org/entity/Q12323135,1,Brandts
http://www.wikidata.org/entity/Q38704762,1,Rijksstudio
http://www.wikidata.org/entity/Q1672830,1,National Library of Ireland
http://www.wikidata.org/entity/Q7377462,1,Rudolph Tegner Museum
http://www.wikidata.org/entity/Q1769248,1,National Archive of Torre do Tombo
http://www.wikidata.org/entity/Q1814356,1,Ministry of the State of Denmark
http://www.wikidata.org/entity/Q12002797,1,Stavanger kunstmuseum
http://www.wikidata.org/entity/Q3557326,1,Sorø Art Museum
http://www.wikidata.org/entity/Q1142142,1,Nordic Museum
http://www.wikidata.org/entity/Q1799857,1,Birmingham Museum and Art Gallery
http://www.wikidata.org/entity/Q18542196,1,Museum of Visual Arts in Galati
http://www.wikidata.org/entity/Q18575408,1,Kommerskollegiesamlingen
http://www.wikidata.org/entity/Q18575405,1,Ulriksdalsamlingen
http://www.wikidata.org/entity/Q18542193,1,Art Museum of Timișoara
http://www.wikidata.org/entity/Q5612742,1,Grão Vasco National Museum
http://www.wikidata.org/entity/Q1274511,1,Moderna Museet
http://www.wikidata.org/entity/Q327540,1,Kunsthalle Kiel
http://www.wikidata.org/entity/Q665171,1,Hamburg Museum
http://www.wikidata.org/entity/Q66932374,1,hall 2.1
http://www.wikidata.org/entity/Q21706028,1,Art Museum of Cluj-Napoca
http://www.wikidata.org/entity/Q5901,1,Cathedral of Our Lady
http://www.wikidata.org/entity/Q1435656,1,Foundation Hartung Bergman
