Wikidata entity,EuropeanaID
Q2448052,2020718/DR_14345
Q2466276,2020718/DR_16930
Q2492613,2020718/DR_17365
Q2469784,2020718/DR_19875
Q2470616,2020718/DR_21465
Q2456864,2020718/DR_25668
Q2496077,2020718/DR_31051
Q2489181,2020718/DR_31590
Q2496690,2020718/DR_33067
Q2470197,2020718/DR_33272
Q2454797,2020718/DR_37172
Q2483022,2020718/DR_37544
Q2447151,2020718/DR_38270
Q2482514,2020718/DR_38308
Q2484562,2020718/DR_39639
Q2478361,2020718/DR_40320
Q2463496,2020718/DR_40413
Q2456741,2020718/DR_45950
Q2490175,2020718/DR_500767
Q2434041,2020718/DR_508774
Q2462517,2020718/DR_508929
Q2476311,2020718/DR_512080
Q2501856,2020718/DR_516312
Q2451613,2020718/DR_518043
Q2472824,2020718/DR_518450
Q2492219,2020718/DR_518790
Q2499238,2020718/DR_525261
Q2500782,2020718/DR_528829
Q2446752,2020718/DR_6820
Q2490097,2020718/DR_6958
Q2471093,2020718/DR_8152
Q2515566,2020718/DR_17890
Q2520990,2020718/DR_25465
Q2524125,2020718/DR_25833
Q2524988,2020718/DR_32844
Q2519582,2020718/DR_33096
Q2533810,2020718/DR_332375
Q2540308,2020718/DR_343878
Q2540813,2020718/DR_35880
Q2536620,2020718/DR_39076
Q2523953,2020718/DR_39860
Q2534947,2020718/DR_514903
Q2536075,2020718/DR_515568
Q2522724,2020718/DR_516100
Q2518675,2020718/DR_517738
Q2525337,2020718/DR_518154
Q2527171,2020718/DR_524743
Q2517141,2020718/DR_526708
Q2547914,2020718/DR_14624
Q2543656,2020718/DR_26453
Q2543981,2020718/DR_33851
Q2548373,2020718/DR_38369
Q2562964,2020718/DR_12907
Q2552594,2020718/DR_14043
Q2606911,2020718/DR_15574
Q2548656,2020718/DR_15626
Q2609578,2020718/DR_16819
Q2596841,2020718/DR_16842
Q2605604,2020718/DR_25303
Q2581228,2020718/DR_29921
Q2588239,2020718/DR_31830
Q2585637,2020718/DR_34006
Q2557542,2020718/DR_35753
Q2583977,2020718/DR_39607
Q2622152,2020718/DR_39629
Q2574899,2020718/DR_40048
Q2570870,2020718/DR_485374
Q2614879,2020718/DR_509700
Q2617744,2020718/DR_511950
Q2580824,2020718/DR_515050
Q2561786,2020718/DR_518104
Q2601294,2020718/DR_518719
Q2625208,2020718/DR_519116
Q2618395,2020718/DR_520049
Q2581014,2020718/DR_520105
Q2580177,2020718/DR_523469
Q2586733,2020718/DR_523627
Q2586748,2020718/DR_524735
Q2599273,2020718/DR_524882
Q2553162,2020718/DR_528861
Q2587780,2020718/DR_8725
Q2596275,2020718/DR_9795
Q2697019,2020718/DR_11287
Q2636377,2020718/DR_11545
Q2652840,2020718/DR_12507
Q2653947,2020718/DR_12700
Q2685227,2020718/DR_14074
Q2668931,2020718/DR_14593
Q2690891,2020718/DR_15304
Q2651892,2020718/DR_16045
Q2689160,2020718/DR_18513
Q2690882,2020718/DR_19449
Q2630846,2020718/DR_20786
Q2631965,2020718/DR_22934
Q2686413,2020718/DR_23773
Q2697112,2020718/DR_31204
Q2656792,2020718/DR_31484
Q2677862,2020718/DR_31952
Q2662819,2020718/DR_33005
Q2657998,2020718/DR_33106
Q2674500,2020718/DR_33509
Q2635766,2020718/DR_39419
Q2683367,2020718/DR_39803
Q2685635,2020718/DR_482937
Q2692567,2020718/DR_505651
Q2674664,2020718/DR_506129
Q2691215,2020718/DR_507544
Q2660998,2020718/DR_509927
Q2681184,2020718/DR_510730
Q2682802,2020718/DR_511671
Q2640218,2020718/DR_513238
Q2654136,2020718/DR_514153
Q2665015,2020718/DR_515898
Q2703533,2020718/DR_524511
Q2699244,2020718/DR_526151
Q2646252,2020718/DR_8589
Q2641579,2020718/DR_9291
Q2662511,2020718/DR_9356
Q2690417,2020718/DR_9996
Q2756543,2020718/DR_1107
Q2783111,2020718/DR_11709
